Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
33,0.9999996852874756,0.00717686403542757,3.6975218364432294e-07,5.414046611917911e-08,23.14725925762601,0.700249176621437
34,0.999999885559082,0.00816620022058487,1.4508841772453707e-07,3.7362937348461855e-08,22.47498460071592,0.6960549998283386
35,0.9999996876716614,0.008590650819242,3.6370038046129595e-07,5.025535486424815e-08,20.972597940771216,0.6696104815602303
36,0.9999994683265686,0.008356769382953644,6.146576501464551e-07,8.581955349029613e-08,22.11237427961006,0.6962942197918892
37,0.9999997591972352,0.008679751567542552,2.753657892640149e-07,4.929442368961645e-08,22.816071263845252,0.6831714591383934
38,0.9999998903274536,0.008457149751484394,1.3628971544221712e-07,3.1842585173080806e-08,22.42959352946484,0.7036511719226837
39,0.9999999117851257,0.007564733698964119,1.6513636069248605e-07,7.022868402373205e-08,23.183944853544677,0.7081827446818352
40,0.9999997639656066,0.007443949617445469,2.5473098133943497e-07,3.3130841927686564e-08,22.823691627281605,0.7174811735749245
41,0.999999885559082,0.007689170967787504,1.6919835502449132e-07,4.4494482978052476e-08,24.010956532172987,0.718441147506237
42,0.999999725818634,0.006725089401006698,3.265193865331639e-07,4.533195948397406e-08,23.4810330783491,0.7125831258296966
43,0.9999997067451477,0.0065183287858963015,3.696558178489795e-07,6.635266203147694e-08,24.08486692036685,0.7183735102415085
44,0.999999828338623,0.006653961315751075,2.1599783451620168e-07,4.616466668494468e-08,24.19042203818179,0.7261476016044617
45,0.9999998474121093,0.006846991293132305,2.0542949613400197e-07,4.536470711968832e-08,24.074704448177528,0.720441403388977
46,0.9999963235855103,0.0068020796775817875,3.7465110495560337e-06,5.157187985105338e-08,24.11590475105975,0.7242719376087189
47,0.9999998044967652,0.006846084594726563,2.3799649781608423e-07,4.072579230296469e-08,23.69611105356716,0.7236221209168434
48,0.9999993920326233,0.006733474470674992,6.965870583997002e-07,7.845569115261242e-08,23.202264028525725,0.7144286289811135
49,0.9999997401237488,0.0062669355794787406,3.4104255689726417e-07,7.971993397859478e-08,23.958179386070807,0.7165641438961029
50,0.9999994897842407,0.006723610199987889,5.664610358735444e-07,5.50147037614579e-08,23.097956112002738,0.7267772489786148
51,0.9999996137619018,0.006614422909915447,4.667207157638131e-07,7.948826450387969e-08,24.014807387892553,0.7268375763297081
52,0.9999997854232788,0.006251178197562695,2.791178707184372e-07,6.491604054303934e-08,23.869187144780316,0.7254043567180634
53,0.9999998092651368,0.006842778213322163,2.7477776512796484e-07,7.883340842340658e-08,23.1938836172559,0.7156558555364608
54,0.9999997115135193,0.00665609773248434,3.3703662779771546e-07,5.047639959343542e-08,23.67752068912928,0.7249218893051147
55,0.9999999022483825,0.006626898255199194,1.65283242949954e-07,6.206765505112344e-08,23.713412800573522,0.724344134926796
56,0.999998528957367,0.006733780093491078,1.5803458819618754e-06,9.967061217253103e-08,22.744101586416598,0.7211713588237763
57,0.9999995017051697,0.007061243131756783,5.478717341134143e-07,4.909914807171845e-08,23.9284092161273,0.718844054043293
58,0.9999998497962952,0.006274647507816553,2.4447532183557995e-07,8.687831538622959e-08,24.23899510267034,0.7290771013498306
59,0.999999885559082,0.00664726484566927,1.6167193024330117e-07,6.034461975445993e-08,24.15134757207842,0.7294362464547157
60,0.9999997687339782,0.006243286859244108,2.962038439591197e-07,5.9426982801369376e-08,24.014401683366234,0.7227409881353378
61,0.9999998021125793,0.0064695896580815315,2.804471935746733e-07,8.568280719600807e-08,24.392112737379726,0.7328827798366546
62,0.9999999022483825,0.006466402783989906,2.0837837979570395e-07,1.1395760978416547e-07,24.311443859628593,0.7326044160127639
63,0.9999998593330384,0.0059622303396463395,2.326119911799651e-07,9.14516125760656e-08,24.378328822227736,0.7275273832678795
64,0.9999999117851257,0.005976638961583376,1.6353333123220182e-07,7.94757947630842e-08,23.789714756740487,0.730515930056572
65,0.9999998950958252,0.006161034479737282,1.6064241805224811e-07,5.889451344387453e-08,24.532043159835215,0.735622575879097
66,0.9999969363212585,0.006100888885557651,3.1473385467961633e-06,8.185688301409754e-08,24.500170610631834,0.7374940124154091
67,0.9999995279312134,0.00590196255594492,5.414194507125103e-07,7.044600863537198e-08,23.80990737933302,0.7172869727015495
68,0.9999997353553772,0.0068419894576072695,3.3540584155389296e-07,7.266499487457167e-08,23.650670643680204,0.7276448354125022
69,0.9999998545646668,0.006498620174825192,2.0346869348486506e-07,5.894560914043723e-08,23.74472476950131,0.7283765456080437
70,0.9999999594688416,0.006316673271358013,1.3400443720001932e-07,8.641534705589038e-08,23.95144617827045,0.7342771062254906
71,0.9999948406219482,0.006242683324962854,5.204730638297406e-06,5.05176836895771e-08,22.653901963515352,0.7324362036585808
72,0.9999997472763061,0.006424690634012222,3.8729093603251387e-07,1.333412890858199e-07,23.986930620309764,0.7339218789339066
73,0.9999999213218689,0.006674257889389992,1.5423969344396936e-07,7.980996443279764e-08,24.20851433854674,0.7310405066609382
74,0.999999508857727,0.0064509139396250244,5.730405604253974e-07,8.625865362432705e-08,24.359939098151543,0.7294565549492836
75,0.9999997329711914,0.006110169421881437,3.3601469795030426e-07,7.34902981491814e-08,24.078991722927228,0.7394176110625267
76,0.9999998092651368,0.006363398768007756,3.1672152573491984e-07,1.102934947994072e-07,24.315158595796916,0.7327384811639786
77,0.9999984693527222,0.006669207233935595,1.6610582758858072e-06,1.2225695883216759e-07,24.15859314461819,0.7330630102753639
78,0.9999997997283936,0.006278473287820816,2.954116109776805e-07,9.014752649250114e-08,23.93677899954953,0.7351394686102867
79,0.9999999189376831,0.006084807515144348,1.7751602882754013e-07,8.893397748011011e-08,23.972985638377622,0.7341641965508461
80,0.9999996066093445,0.006176841109991073,4.628383646831935e-07,6.46380512137057e-08,24.259117545539816,0.7384114074707031
