Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8858934640884399,0.03973844312131405,0.40103227257728574,0.23254533410072326,15.232579313146337,0.39466220393776896
2,0.6961418902873993,0.02056024856865406,0.4250225114822388,0.08819670908153057,17.188692640899575,0.4748440507054329
3,0.48638784646987915,0.017842497639358045,0.5641345524787903,0.07354636960662901,19.389441678267307,0.5342188143730163
4,0.6521549057960511,0.014663172662258148,0.5044052815437317,0.11436964131891728,20.103122264154706,0.5497370512783527
5,0.4739168930053711,0.013647752217948436,0.5539316058158874,0.011747518318006769,19.04422455667738,0.5520741085708142
6,0.5379632544517517,0.015602010339498519,0.5410720252990723,0.06132563434541225,18.708818797717463,0.5558356782793998
7,0.5823618483543396,0.012959398776292801,0.5129408931732178,0.04858373417519033,19.840073643406974,0.5684201103448868
8,0.44881648421287534,0.011459777615964412,0.6462757730484009,0.05938836138695478,20.1486978616413,0.5881143897771836
9,0.585362606048584,0.01222750760614872,0.5700106751918793,0.16070832690689713,19.94410387957783,0.594223763346672
10,0.24408553719520568,0.01217323586344719,0.884417119026184,0.10593267856165767,18.153352651201565,0.5907280945777893
11,0.18929075539112092,0.011185278035700321,0.8931746292114258,0.0821151234395802,21.168596821201042,0.6095484456419945
12,0.4614111924171448,0.010405741557478905,0.7509549617767334,0.14531154721975326,21.128454839767556,0.6185298731923103
13,0.667619019150734,0.009845975413918495,0.7969915717840195,0.4178431115159765,21.800038967577755,0.6221790125966072
14,0.6988519418239594,0.009493432827293874,0.42498814582824707,0.12344460099935532,21.897585073587965,0.6305362394452095
15,0.7326888513565063,0.009311158172786237,0.7026580572128296,0.3335277450084686,22.370737091645797,0.6360473215579987
16,0.6323362731933594,0.009781285263597965,0.6821823191642761,0.1564449481666088,22.650549547630444,0.6489936077594757
17,0.8339863252639771,0.009244669303297997,0.22467896431947337,0.017406399483098765,21.233740988701307,0.6458062520623207
18,0.9999996662139893,0.009414894841611385,4.5494768556864075e-07,1.0843333527077448e-07,20.456334024241883,0.6538266667723656
19,0.9999870681762695,0.00937457088381052,1.2981964278822033e-05,4.7817267017080664e-08,21.72402976481375,0.6534985980391502
20,0.9999999070167541,0.008456834740936756,1.490668674364315e-07,6.451151179476256e-08,22.986186439319383,0.6673895508050919
21,0.9999991488456726,0.008663382567465305,9.024513182964711e-07,4.2619246158892566e-08,22.344422581689795,0.6744939985871315
22,0.9999911952018737,0.008163088411092758,8.838185395063646e-06,4.2341198991380224e-08,22.516545551296552,0.6791110631823539
23,0.9999998354911804,0.009171663336455822,1.9805928417326867e-07,3.559337951486441e-08,21.593993612216153,0.6801085266470909
24,0.9999997353553772,0.008528047129511834,3.0933949346945155e-07,4.2424594539625104e-08,22.711079275469018,0.684091884791851
25,0.999999737739563,0.007872634828090667,3.0573332878702784e-07,5.2701685575584636e-08,22.33315784633119,0.6711179935932159
26,0.9999998188018799,0.009859940074384212,2.5915336891557674e-07,7.627103059348883e-08,21.29831313174503,0.682785695195198
27,0.999999725818634,0.008495183102786541,3.580496363042585e-07,7.096879052426175e-08,23.12948113910283,0.687327827513218
28,0.9999998879432678,0.00821081142872572,1.6679757663951023e-07,4.8221137660675593e-08,22.418541381866817,0.683909410238266
29,0.9999998664855957,0.007965110391378403,1.798680347064874e-07,5.368288313434277e-08,23.42009212226435,0.6920847696065903
30,0.9999999189376831,0.007490950599312782,1.152844315299717e-07,4.158438883905547e-08,23.204145730923152,0.6984379971027375
31,0.9999998068809509,0.007849579527974129,2.2168519834053768e-07,3.688633483989179e-08,22.799348433885974,0.7090493139624595
32,0.9999997401237488,0.007386195212602615,3.0422644897498685e-07,4.5087394227039113e-08,23.144376196666812,0.6972627425193787
